"Metlin_ID","blankclean1_140226061346","blankclean1_140226063807","blankclean1_140227222715","blankclean1_140227225134","pooled_10","pooled_7","pooled_8","pooled_9","sample1_1","sample1_2","sample1_3","sample1_4","sample2_1","sample2_2","sample2_3","sample2_4","sample3_1","sample3_2","sample3_3","sample3_4"
"M259T4","37780.2197546898","29575.3716488684","5651.74237687317","10683.8983930429","40389.0173710718","145502.425713753","62557.6118546334","31178.9140708632","46420.6199596924","26964.2748381753","90301.1416725048","90706.3570447301","56622.4749168912","230149.561998631","16912.933179128","16299.6228356001","24295.4924606993","11460.5838370861","25192.1213224901","61173.9687477187"
"M205T4","693993.591965582","1166817.65226162","552116.310392666","481223.010304047","1300645.70077578","814752.984862798","800910.459233811","1358764.04013376","1050066.60275198","896464.789249577","774869.68252977","955972.498428743","1007862.09217523","1481613.74684616","968429.463463436","813423.117205529","1034536.47845443","1298054.18105692","919168.584607009","974981.74610854"
"M155T4","325814.547081035","311882.653052882","315215.015244337","338684.877433206","426462.719686815","284693.62469332","429142.333645365","390399.247922317","328223.18806455","304052.332018264","15461.6706654785","476643.865354366","530282.104718766","388492.094387996","327897.761422936","439560.086607813","353160.423865754","380149.55225788","352658.188994334","452301.150039836"
"M193T5","49334.841800908","45964.7156384645","39175.7166602443","56314.0821570855","25275.825780771","35192.3537219816","55508.8086540917","15525.8305653639","36616.5090058814","22855.4287148592","41322.3239607556","23720.2787929429","10259.6912524219","26429.8799108006","28174.4604995052","39120.526904794","33882.6778884265","27835.9108874359","34267.203048203","33837.7374622845"
"M206T3","54892.469013614","54179.1366112679","37339.8100961077","22105.5536201177","141402.079129824","30081.8191567013","57771.1009659321","192087.178615994","83522.1426860836","66132.2353118609","54929.3011729312","57514.7234042554","73921.2559184726","155715.055338078","69688.7598965317","67341.3944083374","89196.8059936741","137345.984852561","82573.8872894803","111209.65238142"
"M213T105","214049.449209755","199582.199676339","177257.830765755","218463.77793982","217223.774766285","196435.674003372","20274.0413774414","26438.3197327423","199428.866012793","186907.96087577","197660.018012263","207749.161803782","192092.906630714","204375.704900031","184512.95608453","203864.634011817","185901.760029921","183274.266080642","204495.807934963","190724.636650308"
"M149T3","687603.755927837","524752.805943848","412415.428855596","468741.020825083","516011.326914109","386209.186016533","68019.0147591811","465273.177378107","390201.629058249","407997.376513305","512185.752893561","297509.924691231","636463.918038875","106317.067636977","420055.980510168","423102.96961617","601983.88367805","387497.162496512","390621.467496782","408246.338875016"
"M146T4","37333.5972512867","54905.4170696195","727874.152516235","731800.824268745","99640.9031050765","80352.0077814726","100235.403793123","85637.3642492656","83514.1628335562","85623.8993579914","70761.1938534314","107858.448594591","75965.5368333284","80729.6536973848","86697.0418528132","85489.1338644153","70732.291498953","80272.434976263","84586.4316416326","78003.5020030151"
"M153T124","4916.90632947854","8666.84895116463","13307.5639460449","2091.20791481222","8625.63662224702","10872.1443320804","9055.64410551651","15295.4842938147","14767.2253194973","32146.0438386536","15808.4837058594","10478.9245047737","17646.6171442419","17872.7918324439","17588.3336723633","6639.14036145886","15630.2579415993","10569.8790981386","12016.7283712224","2854.81717866712"
"M93T3","9648515.47216628","17198725.555534","9538254.20666183","0","0","12842159.0245812","0","0","13022652.2675825","0","0","0","0","0","0","0","7860423.04265561","0","0","0"
"M88T4","207745.731315432","206730.575316153","62294.5195652426","98291.3024386333","209558.707135193","197275.666569273","188606.144149157","182479.968256201","179208.158596304","156730.633003113","155890.5748658","204626.294749937","195075.099184547","192263.609691892","215442.375371439","170761.286178927","180249.791756111","195576.371917639","170296.742996733","182398.830870693"
"M235T4","1432581.19903867","1537039.56143855","1138911.01014762","1213923.05501032","1156470.15973151","1154260.48331476","1266528.50265353","1262791.71333567","1178584.25713445","1443062.40299924","14277.35866875","1432770.54291465","1201487.73111297","1218701.88053276","1280539.54357329","1296961.71479055","1290424.53204034","1233809.20760942","1214289.75613029","1235155.96040908"
"M151T3","11344.1729055908","674709.316447279","605386.845413955","643119.176152306","829080.405627464","1248691.16957092","1080038.16338732","78963.426104632","891745.290114542","119515.748212753","135284.6310476","581002.693257412","120903.158934648","103193.500205668","859851.837826807","729622.625624961","827563.69069147","974082.701794914","723024.890916061","854219.064867547"
"M138T4","840085.167609769","801317.942622543","535619.671043613","680486.605261034","726213.183415218","567749.480499259","687420.528310407","568642.067586527","501224.354669605","725986.690331366","761404.858102257","658566.324643774","717483.701459292","548081.358717208","694701.584366647","578962.089466875","784046.432702837","667102.38835667","528980.383620057","580060.421297324"
"M175T4","0","0","16668.1850590007","0","0","121916.80809593","15515.1568366809","0","142235.881946386","0","0","264128.306374272","0","217492.581371192","0","41982.8035983179","0","0","0","0"
"M75T4","0","0","0","0","103858.172055143","0","0","0","66747.2784764474","0","0","78236.0674086268","93266.1847224988","0","0","67500.9080601791","0","112049.961208633","0","0"
"M90T4","0","0","0","0","0","72721.6679487356","0","0","0","101103.012575891","86065.4323470027","116258.732011678","82965.5359482899","71289.8409580726","78207.8270708365","0","0","74793.4607316724","65696.0211280997","0"
"M130T3","0","0","0","0","0","31743.2250747416","0","0","0","0","59754.9263066324","82263.0940922119","0","0","0","0","0","0","0","0"
"M194T4","0","0","0","0","0","117573.615141152","0","0","94702.9516572975","0","68767.4545693535","0","0","0","0","0","0","0","58022.2820405444","0"
